Abbr,Definition,Sentence
BPS,Battersea Power Station,"KUALA LUMPUR: Projek pembangunan hartanah bekas stesen janakuasa ikononik di kota London, BPS oleh konsortium Malaysia, kini sudah mencatat jualan RM9."
IKM,Institut Kemahiran MARA,"Agensi seperti Institut Kemahiran Belia Negara (IKBN) , IKM dan GiatMARA perlu aktif menyediakan pekerja terutama dalam industri ini yang akan berkembang pesat."
BWC,Balok Wind Challenge,"Kuantan: Hadiah keseluruhan wang tunai RM30,000 akan menjadi milik 100 peluncur tempatan dan antarabangsa pada BWC di Pantai Balok, di sini, dari 19 hingga 21 Februari ini."
MRA,Malaysian Relief Agency,"Ketua Pengarah Kesihatan Datuk Dr Noor Hisham Abdullah berkata, operasi hospital itu diketuai oleh seorang pakar Kementerian Kesihatan serta dibantu oleh anggota kementerian itu dan sukarelawan daripada pelbagai agensi seperti IMAM Response & Relief Team (IMARET) , Federation of Islamic Medical Association (FIMA) , MERCY Malaysia, MRA , MyCorps dan Humanity Heroes."
ABC,air batu campur,"Antara menu makanan dijual RM1 ialah laksa, rojak buah dan ais kacang atau ABC hingga gerainya menjadi tumpuan pelajar dan penduduk kampung serta pelanggan dari luar daerah ini."
CPJ,Cawangan Pencegahan Jenayah,Semua anggota terbabit ditahan ketika berada dalam bilik CPJ selepas SPRM mengepung balai berkenaan.
UTAR,Universiti Tunku Abdul Rahman,DATUK Seri Liow Tiong Lai ketika berucap pada Program Kempen Kesukarelawan di UTAR di sini hari ini.
PSM,Panglima Setia Mahkota,"Pada 2011 pula, beliau dianugerahkan PSM yang membawa gelaran Tan Sri oleh kerajaan Persekutuan."
BMF,Bumiputra Malaysia Finance,"Katanya, mereka akan berdebat mengenai isu berbangkit dalam negara seperti skandal BMF ."
IB,International Baccalaureate,"Justeru, kajian dilakukan terhadap kurikulum pendidikan dunia sedia ada termasuk Cambridge ICGSE, IB , Advance Placement Amerika Syarikat, Sijil Pelajaran Malaysia (SPM) dan National Gifted School di Singapura, katanya."
PPDA,Pasukan Penyelamatan di Air,"Katanya, operasi turut menggunakan bot aluminium dan membabitkan anggota Pasukan Penyelamatan Di Air (PPDA) ."
MSSJ,Majlis Sukan Sekolah-sekolah Johor,Muar: Pasukan Sekolah Menengah Kebangsaan (SMK) Dato Sri Amar Diraja Muar muncul juara bola sepak bawah 17 apabila menewaskan SMK Mersing untuk menjuarai Kejohanan Bola Sepak Juara-juara Sekolah 100Plus Super Cup Majlis Sukan Sekolah-Sekolah Johor (MSSJ) 2015.
JKNS,Jabatan Kesihatan Negeri Selangor,Kesalahan pemuda itu dikesan oleh kementerian sekitar Oktober lalu dan pasukan penguat kuasa kesihatan awam dari JKNS ditugaskan untuk menjalankan operasi serbuan pada 19 Oktober 2017 di sekitar daerah Petaling.
FT,Financial Times,Beliau berkata demikian dalam kenyataan kepada akhbar FT yang disiarkan di laman web portal berita ekonomi itu malam tadi.
SPT,Seberang Perai Tengah,"Sementara itu, Ketua Polis Daerah SPT , Asisten Komisioner Rusli Mohd Noor, ketika dihubungi, mengesahkan perintah reman terhadap suspek."
PA,Perumahan Awam,"Beliau berkata, penerima terdiri daripada anak yang lahir di Projek Perumahan Rakyat (PPR) , PA dan anak mualaf berusia tujuh hingga 17 tahun."
SMKTP,Sekolah Menengah Kebangsaan Tanjung Puteri,"Menurut Kilinam, anak bongsu daripada lapan beradik itu belajar di SMKTP Kuala Ketil dan mempunyai hobi memancing sejak di sekolah rendah lagi."
ASG,Aesthetic Skin Group,Lebih membanggakan apabila pelajar terbaik ASG akan diberi modal untuk memulakan perniagaan.
AR,augmented reality,Kuala Lumpur: Samsung Malaysia Electronics memperkenalkan aplikasi teknologi Augmented Reality (AR) berasaskan lokasi pertama dikenali Culture Explorer bagi membolehkan pengguna mempelajari warisan Malaysia.
KBC,Kompleks Bebas Cukai,"Bukit Kayu Hitam: Orang ramai yang mengunjungi sempadan Malaysia-Thailand bimbang dengan kehadiran puluhan anjing liar disyaki dari negara jiran yang berkeliaran terutama di sekitar KBC , di sini, sejak kebelakangan ini."
TMP,Tahun Melawat Pahang,"Program diadakan sempena TMP dan penganjuran program ini sekali gus dapat menaikkan nama Ipoh, kataya ketika ditemui di sini hari ini."
JMG,Jabatan Mineral dan Galian,"Agensi yang terbabit dalam mengutip bayaran royalti adalah Kastam Diraja Malaysia, JMG serta pelabuhan."
HDS,Hospital Daerah Segamat,"Dengan bantuan jiran, Muhammad Rezamien dibawa ke Pusat Kesihatan Kecil di Jementah dengan menaiki kereta untuk menerima rawatan, sebelum dirujuk ke HDS memandangkan keadaan melecur yang agak teruk, katanya."
MAIK,Majlis Agama Islam Kelantan,"Program anjuran KAFA yang diimamkan Imam MAIK , Muhammad Hana Pizi Abdullah itu, bertujuan meminta kesejahteraan dan keberkatan untuk persatuan serta pasukan bola sepak Kelantan."
PPRT,Projek Perumah Rakyat Termiskin,"Selain itu, Shabudin turut menggesa siasatan terhadap transaksi penjualan tanah di Taman Manggis di sini, yang asalnya diperuntukkan bagi pembinaan PPRT ."
PA,Perumahan Awam,"Antara isu yang dikenal pasti ialah pengurusan projek perumahan penswastaan, garis panduan pembelian hartanah oleh pegawai dan kakitangan, pemilikan dan pengisytiharan harta, pengurusan Projek Perumahan Rakyat (PPR) dan PA serta pemantauan pembangunan tanah di ibu negara."
ARC,Akhlak Rahsia Cekal,"NGO berkenaan terdiri daripada Pertubuhan Martabat Jalinan Muhibbah (MJMM) , Gerak Kerja Gabungan Ayahanda Selangor (GEGAS) , Pertubuhan Permuafakatan Majlis Ayahanda Malaysia (PERMAS) , Ikatan Usahawan Kecil dan Sederhana Malaysia (IKHLAS) , Ikatan Rakyat Insan Muslim Malaysia (IRIMM) , Majlis Bendahara dan ARC ."
KJ,Kita Juara,"Setiausaha Persatuan Renang Amatur Malaysia (ASUM) Mae Chen berkata, pertandingan di Eropah itu diaturkan untuk atlet yang berjaya meraih pingat ketika di temasya Sukan SEA Singapura selain mereka di bawah program KJ ."
PDP,Project Delivery Partner,"PERDANA Menteri, Datuk Seri Najib Razak menyaksikan majlis memeterai perjanjian pembinaan projek Lebuhraya Pan Borneo Sabah antara Kerajaan Persekutuan, Kerajaan Negeri dan Rakan Penyampai Projek atau PDP , Borneo Highway PDP Sdn Bhd (BHP) di Bangunan Perdana Putra, Putrajaya, hari ini."
BAH,Banteras Aktiviti Haram,"Wartawan yang turut serta dalam operasi bersepadu BAH awal pagi semalam, mendapati kumpulan wanita itu sengaja mencabar pihak berkuasa untuk menahan mereka."
PKD,Pejabat Kesihatan Daerah,"Justeru, beliau menyatakan jika pengguna mempunyai sebarang pertanyaan, mereka boleh merujuk ke PKD atau Jabatan Kesihatan Negeri (JKN) terdekat atau melalui laman web http://fsq."
ASN,Anugerah Sukan Negara,"KUALA LUMPUR: Jaguh basikal negara, Azizulhasni Awang dan ratu terjun, Cheong Jun Hoong menepati ramalan apabila dinobatkan sebagai Olahragawan dan Olahragawati Kebangsaan ASN 2017."
IPPTAR,Institut Penyiaran dan Penerangan Tun Abdul Razak,PUTRAJAYA: Universiti Kebangsaan Malaysia (UKM) menyambut baik cadangan IPPTAR bagi mengadakan kerjasama program berkembar jangka panjang dalam bidang Komunikasi Strategik.
FMC,Familia Myvi Club,"Kami juga datang untuk memberi sumbangan dalam bentuk wang kepada keluarga arwah, kata Hairul Safuan, 25, wakil FMC ."
PPN,Pingat Pangkuan Negara,"INFO: NAMA: Datuk Hasbullah Awang UMUR: 63 tahun TARILH LAHIR: 9 September 1952 ASAL: Teluk Intan, Perak ALAMAT: Lot 2975, Kampung Bukit Naga, Seksyen 32, 40460, Shah Alam, Selangor ANTARA LIPUTAN DAN ANUGERAH: Sukan Olimpik 1988 - Seoul Sukan Olimpik 1992 - Barcelona Sukan Olimpik 1996 - Atlanta Sukan Olimpik 2000 - Sydney Sukan Olimpik 2004 - Athens Sukan Olimpik 2008 - Beijing Sukan Olimpik 2012 - London Sukan Komanwel 1998 - Kuala Lumpur Sukan Komanwel 2002 - Manchester Sukan Komanwel 2010 - New Delhi Sukan Asia 1986 - Seoul Sukan Asia 1990- Beijing Sukan Asia 2006 - Doha Sukan Asia 2010 - Guangzhou Sukan SEA 1985 - Bangkok Sukan SEA 1989 - K Lumpur Sukan SEA 1991 - Manila Sukan SEA 1997 - Jakarta Sukan SEA 1999 - Bandar Seri Begawan Sukan SEA 2001 - K Lumpur Sukan SEA 2003 - Hanoi Sukan SEA 2005 - Manila Sukan SEA 2007 - Korat Anugerah Penyiar Serba Boleh 1988 Pengulas TV Terbaik Sri Angkasa 1989 Pengulas TV Terbaik Sri Angkasa 1991 Pengulas TV Terbaik Sri Angkasa 2004 Darjah-Pingat: Darjah Indera Mahkota Pahang (DIMP) Ahli Memangku Perak (AMP) Ahli Mangku Pahang (AMP) PPN"
MAM,Motorsports Association of Malaysia,"Naib Canselor Universiti Teknologi Malaysia (UTM) , Profesor Datuk Dr Wahid Omar, berkata langkah berkenaan diambil selaras dengan saranan MAM iaitu badan yang menguruskan sukan permotoran di Malaysia."
SAR,sekolah agama rakyat,"Setiausaha Sekretariat Jawatankuasa Pengurusan Bencana negeri, Mohd Noor Hassan Ashari Sulaiman berkata, pusat pemindahan di Sekolah Agama Rakyat (SAR) Kampung Padang Serai di daerah Manjung, menempatkan 72 mangsa daripada 17 keluarga."
ILP,Industri Latihan Perindustrian,"Beliau berkata demikian selepas meluangkan masa bersama penuntut ILP Selandar, Melaka menerusi sesi dialog 30 minit."
PPK,Program Pengurusan Kredit,"KUALA NERUS: Agensi Kaunseling dan Pengurusan Kredit (AKPK) menyelesaikan 10,197 kes menerusi PPK dengan jumlah keseluruhan bernilai RM416."
FFM,Filem Festival Malaysia,"Dalam pertemuan semalam, Hassan menyatakan hasrat menyertai festival filem di seluruh dunia termasuk FFM ."
IPTA,Insitutut Pengajian Tinggi Awam,"Beliau berkata, kesemua yang ditahan termasuk seorang penuntut Institut Pengajian Tinggi Awam (IPTA) berusia antara 20 dan 40-an itu kini direman bagi membantu siasatan."
JKM,Jaket Keselamatan Murid,"Pada masa yang sama, menyedari kepentingan keselamatan murid berulang-alik ke sekolah menggunakan pengangkutan air, kerajaan turut menyediakan peruntukan untuk pembelian JKM dengan peruntukan berjumlah RM500,000, katanya."
JKKKP,Jawatankuasa Kemajuan dan Keselamatan Kampung Persekutuan,"Sementara itu, Pengerusi JKKKP Bukit Bunga, Mohd Hanafiah berkata, mangsa yang terbabit dengan kejadian itu dinasihatkan membuat laporan bagi membolehkan bantuan disalurkan."
LPPKN,Lembaga Penduduk dan Pembangunan Keluarga Negara,"Kuala Lumpur: Permintaan tinggi terhadap Program Penjagaan Selepas Bersalin mendorong Lembaga Penduduk Dan Pembangunan Keluarga Negara (LPPKN) membuka sebuah pusat latihan bertauliah MamaCare, tidak lama lagi."
HL,Hospital Langkawi,"Langkawi: Bekas selebriti TV3 Aziz Desa, 50, kini terlantar di HL akibat masalah buah pinggang yang kronik dan penyakit kencing manis."
IP,Internet Protokol,Kuala Lumpur: Polis sudah menghantar alamat IP seorang lelaki tempatan yang dipercayai memuat naik gambar lucah kanak-kanak di laman sosial kepada Unit Forensik untuk siasatan lanjut.
JPB,Jawatankuasa Pengurusan Bersama,Kerjasama ini diuruskan JPB dianggotai wakil Bank Mualamat dan MAIK.
PSMB,Pembangunan Sumber Manusia Bhd,"JPJ dalam kenyataan hari ini berkata, Program myLesen GDL diwujudkan bagi melesenkan pemandu kenderaan barangan dan menyediakan peluang pekerjaan dengan tajaan penuh oleh PSMB tertakluk kepada terma dan syarat yang sudah ditetapkan."
AP,Approval Permit,"Oleh yang demikian, pengusaha bauksit perlu menandatangani satu aku janji sebelum permohonan AP untuk mereka mengeluarkan stockpile diluluskan NRE."
IPK,Ibu pejabat Polis Kontingen,"Zailanni berpindah tugas ke IPK Sarawak dengan memegang jawatan sebagai Timbalan Ketua Jabatan Pencegahan Jenayah dan Keselamatan Komuniti Negeri, berkuat kuasa 10 Januari ini, manakala jawatan lamanya disandang oleh Timbalan Ketua Polis Daerah Miri, Superintendan Stanley Jonathan Ringgit."
JKM,Jabatan Kebajikan Masyarakat negeri,"Tinjauan Harian Metro sehingga jam 12 tengah malam tadi mendapati mangsa yang ditempatkan di dewan itu mendapat bantuan segera daripada JKM iaitu toto, bantal, tikar, selimut, makanan serta minuman."
PSH,pegawai sambilan harian,"Ia termasuk pegawai lantikan sementara, perkhidmatan dalam kontrak, guru interim dan PSH , tertakluk kepada syarat."
PBSM,Persatuan Bulan Sabit Merah,"Buat masa ini, semua keperluan dan bekalan mencukupi manakala bagi bekalan makanan, kami hanya menempahnya, tetapi jika keadaan bertambah buruk dan bilangan mangsa meningkat, JKM akan bergotong-royong dengan anggota tentera serta PBSM untuk memasaknya, katanya."
GSR,Global Solution Resources,"Selepas berehat seketika untuk menyambut Aidilfitri, September ini Elya kembali sibuk mengacarakan program travelog terbitan GSR ke destinasi negara-negara Asean untuk menyelusuri keunikan dan keindahan negara itu."
PPL,Pusat Penyelidikan Langkawi,"Pengerusi PPL merangkap Penasihat Langkawi UNESCO Global Geopark, Prof Emeritus Datuk Dr Ibrahim Komoo berkata, pembinaan galeri itu mendapat kerjasama syarikat GA Properties & Development Sdn GA Properties (Bhd) ."
JKKN,Jawatankuasa Kerja Keselamatan Negeri,"Tindakan penguatkuasaan akan dilaksanakan sepenuhnya terhadap semua aktiviti pelayaran dan perdagangan laut yang menyalahi undang-undang di timur Sabah, katanya selepas mempengerusikan Mesyuarat Khas JKKN , semalam."
PRN,Pilihan Raya Negeri,"Foto Yazit Razali KUALA LUMPUR: Kita belum cukup yakin untuk menang, kata Timbalan Perdana Menteri, Datuk Seri Dr Ahmad Zahid Hamidi mengenai PRN ke-11 Sarawak."
SIC,Sepang International Circuit,SEPANG International Circuit (SIC) memberi jaminan Grand Prix Motosikal Dunia (MotoGP) dari 27 hingga 29 Oktober ini tidak akan terjejas dengan isu keselamatan seperti yang terjadi pada GP Formula Satu awal bulan ini.
IB,Infectious Bronchitis,"Putrajaya: Penyakit IB atau bronkitis berjangkit yang dikesan terhadap bekalan ayam di Selangor, Perak dan Kedah adalah kes normal, terpencil dan tidak membimbangkan industri dan bekalan ayam di seluruh negara."
PPKI,Program Pendidikan Khas Integrasi,"Justeru, saya syorkan ibu bapa jadikan insentif ini sebagai dorongan untuk menabung dari sekarang, katanya kepada media selepas majlis Penyerahan Sumbangan Khidmat Sosial Masyarakat (CSR) PTPTN bagi PPKI di Sekolah Menengah Kebangsaan (SMK) Bandar Baru Salak Tinggi, di sini hari ini."
NU,Nahdlatul Ulama,"Kira-kira sejuta hingga tiga juta orang dibunuh tentera dan juga sayap pemuda NU , kumpulan Islam terbesar negara itu."
PPDA,Pasukan Penyelamat Di Air,"Operasi mencari dan menyelamat turut disertai enam anggota PPDA Balai Bomba dan Penyelamat Kuantan, katanya, di sini, hari ini."
KSWF,Kejohanan Sukan Warga FELDA,"Kuala Lumpur: Juara bertahan acara bola sepak, Terengganu berdepan laluan getir sebelum menewaskan Jengka untuk menempah tiket ke separuh akhir KSWF 2016."
PKB,Politeknik Kota Bharu,Melaka: Pasukan bola sepak PKB akan terus melahirkan pemain pelapis berbakat buat skuad negeri dan negara pada masa depan.
KKM,Kelab Kartunis Malaysia,"Pameran anjuran Institut Wasatiyyah Malaysia (IWM) dan KKM itu yang bermula kelmarin hingga Sabtu ini dirasmikan Perdana Menteri yang juga Presiden UMNO Datuk Seri Najib Razak, semalam."
UPEN,Unit Perancang Ekonomi Negeri,"Kita menyasarkan sekurang-kurang 200 syarikat asing di seluruh dunia memulakan operasi di zon bebas berkenaan tahun ini, jelas Jamal Ramadhan, Sementara itu, Pengarah Gazelle International, Datuk Mohammed Ab Halim Ab Rahman berkata, syarikat yang berpangkalan di Dubai bercadang menjalinkan kerjasama dengan UPEN untuk menyalurkan maklumat dan peluang perniagaan di Zon Bebas Lapangan Terbang Dubai."
PTC,Perak Turf Club,"Dianggarkan 100 kuda di Selangor Turf Club (STC) dan PTC dikesan dijangkiti virus EI dan langkah pencegahan sudah dan sedang dibuat termasuk mengasingkan kuda terjangkit, menyahkuman premis dan alatan digunakan pada kuda berjangkit serta meningkatkan tahap biosekuritinya."
PLPGU,Pangkalan Latihan Pasukan Gerakan Udara,"Polis pasti akan mengambil tindakan kepada mereka yang menghasut pelajar ini untuk melakukan aktiviti gangsterisme dan mereka ini berkemungkinan orang-orang kuat dalam kumpulan kongsi gelap, katanya dalam sidang media selepas menyaksikan Majlis Serah Terima Tugas Ketua Polis Perak di Dewan Serbaguna PLPGU di sini, hari ini."
JKKP,Jabatan Keselamatan dan Kesihatan Pekerjaan," JKKP dalam kenyataannya berkata, pihaknya juga akan menjalankan kajian menyeluruh terhadap ciri keselamatan eskalator termasuk dari aspek teknikal, penggunaan dan faktor manusia yang boleh menyumbang kepada kemalangan."
GP,Grand Prix,"KUALA LUMPUR: Berikut adalah keputusan Perlumbaan GP 3 yang berakhir di sini, sebentar tadi."
BPBD,Badan Pengurusan Bencara Daerah,Makassar: BPBD Makassar mengarahkan orang ramai bersiap sedia menghadapi banjir ekoran hujan lebat yang terus melanda kota itu sejak beberapa hari lalu.
PBB,Pantai Batu Buruk,"Aktiviti berbasikal itu membabitkan laluan bermula dari Dataran PBB ke Primula Beach Hotel, Jalan Pantai, bangunan baru MBKT, Jalan Kampung Kolam, Jalan Sultan Ismail, Ladang sebelum kembali ke Dataran PBB."
AMP,Ahli Mahkota Pahang,"Selain itu, seramai lapan individu menerima pingat Setia Ahmad Shah (SAP) , 25 penerima Setia Mahkota Pahang (SMP) , 14 penerima Ahli Ahmad Shah Pahang (AAP) , 48 penerima AMP , 19 penerima Pingat Khidmat Cemerlang (PKC) , 23 penerima Pingat Kelakuan Terpuji (PKT) dan 28 penerima Pingat Jasa Kebaktian (PJK) ."
PPS,Pusat Perkhidmatan Setempat,"Untuk maklumat lanjut, orang ramai boleh menghubungi PPS FRIM di talian 03-62797592/03-62797649 atau melalui e-mel kepada, frim_enquiry@frim."
PSM,Persatuan Seniman Malaysia,"com KUALA LUMPUR : PSM , hari ini membuat laporan polis terhadap pelawak Singapura, Fakkah Fuzz kerana sikap biadabnya yang menghina Perdana Menteri, Datuk Seri Najib Razak dalam satu program realiti baru-baru ini."
APD,Akta Penagih Dadah,Mereka didakwa melakukan kesalahan mengikut Seksyen 20 (a) APD (Rawatan dan Pemulihan) 1983 yang mana jika sabit kesalahan boleh didenda atau penjara tidak lebih tiga tahun atau kedua-duanya.
UIP,Unit Inspektorat dan Perundangan,"Hasil pemeriksaan dalam Operasi Tom Yam bermula jam 9 malam kelmarin, UIP Jabatan Kesihatan Negeri Melaka, mengarahkan restoran terbabit ditutup selama dua minggu."
ASG,Amanah Saham Gemilang,"Abdul Wahid berkata, PNB turut mengumumkan pengagihan pendapatan bagi ketiga-tiga dana di bawah ASG dengan jumlah sebanyak RM138 juta yang akan memberi manfaat kepada lebih 140,000 pemegang unit yang melanggan 3."
IPGM,Institut Perguruan Guru Malaysia,"Mahdzir berkata, kementerian memandang serius saranan Perdana Menteri dan kewujudan IPGM yang mempunyai khusus bahasa Melayu membolehkan bakal guru mahir menguasai bahasa itu untuk mengajar di sekolah termasuk sekolah vernakular."
TDA,Technology Depository Agency,"Bagi mencapai matlamat mengurangkan kebergantungan pembekal asing, Masnizam berkata, Prasarana bekerjasama dengan TDA , sebuah agensi di bawah Kementerian Kewangan dan Pertubuhan Industri Rel Malaysia (MARIC) untuk meningkatkan penyertaan tempatan dalam industri berkenaan."
JKKK,Jawatankuasa Kemajuan Keselamatan Kampung,"Hadir sama, Pengerusi JKKK Kampung Payong Othman Ismail."
MBS,Majlis Belia Selangor,"Sebelum ini, kerajaan Selangor bertegas untuk mengekalkan kenaikan kadar sewa sehingga 300 peratus terhadap premis pejabat MKS dan MBS di Kompleks Belia dan Kebudayaan Negeri."
